"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",251,0.882125509322577,1.3975763444224,7.0242878396673e-07,0.000214240779109853,0.000153794933752716,258,"tags=31%, list=6%, signal=31%","5743/2099/367/4843/5468/1017/890/2932/5292/2100/6256/808/836/596/581/8648/5970/842/3569/3725/7157/3162/207/5594/7422/4318/3576/595/4780/2353/7040/841/4790/1019/4313/5595/4792/3558/4609/3458/598/3091/1026/5579/5578/3565/5599/5733/5728/4312/5925/2950/332/1728/6772/1956/2335/862/6774/356/1906/2475/5291/331/650/3481/1950/1029/6257/5467/1499/183/3480/317/2944/5290/3551/2946"
"hsa04082","hsa04082","Neuroactive ligand signaling",103,0.901065481214154,1.46167563853975,0.00015530832071387,0.0236845189088651,0.0170021740570973,144,"tags=22%, list=4%, signal=22%","43/2554/1128/154/6530/1131/1129/6531/146/148/147/6532/153/150/2891/1139/4988/5579/152/5578/3359/2902/4985"
